ticket_number,total_ticket
150386.0,1.2
150387.0,3.5999999999999996
150388.0,2.0
150389.0,3.1500000000000004
150390.0,2.0
150391.0,1.4
150392.0,1.65
150393.0,1.5
150394.0,7.199999999999999
150395.0,1.05
150396.0,2.4
150397.0,2.4
150398.0,14.7
150399.0,2.1
150400.0,13.15
150401.0,2.8
150402.0,8.0
150403.0,1.2
150404.0,12.0
150405.0,2.3
150406.0,2.8
150407.0,2.4
150408.0,13.1
150409.0,0.9
150410.0,5.0
150411.0,1.2
150412.0,1.2
150413.0,7.199999999999999
150414.0,6.5
150415.0,14.5
150416.0,2.0
150417.0,1.4
150418.0,1.8
150419.0,5.2
150420.0,1.2
150421.0,4.9
150422.0,2.1
150423.0,2.4
150424.0,1.2
150425.0,1.2
150426.0,1.2
150427.0,6.8
150428.0,12.0
150429.0,2.4
150430.0,8.2
150431.0,1.2
150432.0,2.6
150434.0,2.2
150435.0,2.75
150436.0,7.5
150437.0,2.4
150438.0,5.4
150439.0,4.2
150440.0,3.2
150441.0,2.7
150442.0,1.3
150443.0,2.0
150444.0,2.5
150445.0,2.2
150447.0,1.2
150448.0,1.2
150449.0,2.4
150450.0,6.3
150451.0,0.9
150452.0,1.8
150453.0,3.1
150454.0,7.199999999999999
150455.0,2.4
150456.0,1.0
150457.0,8.0
150458.0,1.8
150459.0,4.5
150460.0,6.300000000000001
150461.0,0.9
150462.0,1.15
150463.0,19.6
150464.0,2.4
150465.0,8.4
150466.0,1.7999999999999998
150467.0,4.2
150468.0,7.8
150469.0,7.05
150470.0,2.3
150471.0,2.4
150472.0,1.5
150473.0,1.5
150474.0,8.9
150475.0,0.9
150476.0,1.1
150477.0,2.7
150478.0,8.0
150479.0,1.2
150480.0,1.2
150481.0,2.4
150483.0,4.5
150484.0,1.05
150485.0,1.2
150486.0,2.1
150487.0,1.8
150488.0,1.5
150489.0,1.5
150490.0,0.9
150491.0,2.4
150492.0,1.2
150493.0,1.05
150494.0,7.199999999999999
150495.0,3.9
150496.0,1.05
150497.0,1.2
150498.0,10.4
150499.0,1.05
150500.0,2.4
150501.0,0.9
150502.0,1.2
150503.0,0.6
150504.0,2.0
150505.0,1.2
150506.0,3.6
150507.0,1.2
150508.0,2.15
150509.0,1.05
150510.0,5.7
150511.0,1.2
150512.0,1.05
150513.0,1.1
150514.0,2.4
150515.0,6.5
150516.0,1.8
150517.0,2.3
150518.0,4.8
150519.0,1.2
150520.0,1.2
150521.0,1.05
150522.0,1.2
150523.0,1.2
150524.0,2.4
150525.0,1.2
150526.0,0.9
150527.0,10.4
150528.0,1.2
150529.0,1.2
150530.0,2.1
150531.0,5.3
150532.0,1.2
150534.0,0.9
150535.0,1.2
150536.0,1.05
150537.0,11.8
150538.0,4.8
150539.0,2.4
150540.0,2.4
150542.0,4.5
150543.0,6.5
150544.0,1.2
150546.0,1.05
150547.0,2.4
150548.0,2.4
150549.0,6.0
150550.0,2.4
150551.0,3.9
150552.0,2.4
150553.0,2.4
150554.0,6.5
150555.0,3.1500000000000004
150556.0,5.199999999999999
150557.0,0.9
150559.0,10.4
150560.0,6.5
150561.0,6.5
150562.0,2.4
150564.0,1.8
150565.0,1.2
150566.0,2.3
150567.0,7.5
150568.0,0.6
150569.0,0.9
150570.0,2.75
